EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1147140,NORTHWEST SUFFOLK (ZONE), ,12/18/2023,400,High Wind,50.00, ,0,0,0,0,NY,EST-5,EG,186886,Z,78,OKX,0,0,NWS Employee, , , , , , , , ,12/18/2023,1100, , , , ,"Multiple instances of trees and limbs were reported down by the department of transportation, NWS Employees, and the public. This included, in Local Standard Time,  St. James, NY at 428 AM and 630 AM, Yaphank, NY at 800 AM, Ridge, NY at 907 AM, Stony Brook, NY at 932 AM, and Dix Hills, NY at 1015 AM.","A strong area of low pressure moved north along the U.S. east coast and passed through the region during the morning of December 18, 2023. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during the morning hours.",1
1147139,NORTHWEST SUFFOLK (ZONE), ,12/18/2023,430,High Wind,52.00, ,0,0,0,0,NY,EST-5,MG,186886,Z,78,OKX,0,0,Mesonet, , , , , , , , ,12/18/2023,530, , , , ,"A measured wind gust of 60 mph was recorded at a mesonet station located in Northport, NY at 455 AM Local Standard Time.","A strong area of low pressure moved north along the U.S. east coast and passed through the region during the morning of December 18, 2023. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during the morning hours.",2
1147142,NORTHEAST SUFFOLK (ZONE), ,12/18/2023,630,High Wind,55.00, ,0,0,0,0,NY,EST-5,MG,186886,Z,79,OKX,0,0,Mesonet, , , , , , , , ,12/18/2023,1030, , , , ,"Multiple high wind gusts were recorded at mesonet sites, including 63 mph at 730 AM Local Standard Time at Orient, NY, 61 mph at 1001 AM Local Standard Time at Great Gull Island, NY and 59 mph at 641 AM Local Standard Time at Fishers Island Airport.","A strong area of low pressure moved north along the U.S. east coast and passed through the region during the morning of December 18, 2023. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during the morning hours.",3
1147143,SOUTHEAST SUFFOLK (ZONE), ,12/18/2023,700,High Wind,50.00, ,0,0,0,0,NY,EST-5,MG,186886,Z,81,OKX,0,0,Mesonet, , , , , , , , ,12/18/2023,800, , , , ,"A measured wind gust of 58 mph was recorded at a mesonet station located in Shinnecock, NY at 726 AM Local Standard Time.","A strong area of low pressure moved north along the U.S. east coast and passed through the region during the morning of December 18, 2023. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during the morning hours.",4
1147141,SOUTHWEST SUFFOLK (ZONE), ,12/18/2023,730,High Wind,56.00, ,0,0,0,0,NY,EST-5,MG,186886,Z,80,OKX,0,0,ASOS, , , , , , , , ,12/18/2023,830, , , , ,"A measured wind gust of 65 mph was recorded at Shirley Airport at 0758 AM Local Standard Time.","A strong area of low pressure moved north along the U.S. east coast and passed through the region during the morning of December 18, 2023. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during the morning hours.",5
1154209,SOUTHEAST SUFFOLK (ZONE), ,12/18/2023,900,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,187926,Z,81,OKX,0,0,River/Stream Gage, , , , , , , , ,12/18/2023,1500, , , , ,"Moderate coastal flooding and major beach erosion occurred along the south shore of SE Suffolk:||At the East Moriches USGS tidal gauge, moderate coastal flooding of 5.3 ft MLLW or more occurred from 1130 AM EST to 230 PM EST, with a peak water level of 5.7 ft MLLW from 142 PM EST to 148 PM EST.||At the Montauk NOS tidal gauge, moderate coastal flooding of 4.9 ft MLLW or more occurred from 1100 AM EST to 200 PM EST, with a peak water level of 5.0 ft MLLW 1106 AM EST. |	|At the Ponquoque USGS tidal gauge, moderate coastal flooding of 5.9 ft MLLW or more occurred from 954 AM EST to 212 PM EST, with a peak water level of 6.5 ft MLLW 1254 PM EST to 100 PM EST.","An intensifying storm moved up the Eastern Seaboard from northern Florida on December 17th, to the coastal Mid Atlantic region on the 18th. This storm produced a strong onshore flow on the 18th that combined with high astronomical tides to cause widespread moderate to locally major coastal flooding and beach erosion along the south shore of Long Island during the late morning and afternoon.",6
1154208,SOUTHWEST SUFFOLK (ZONE), ,12/18/2023,1100,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,187926,Z,80,OKX,0,0,River/Stream Gage, , , , , , , , ,12/18/2023,1900, , , , ,"Major coastal flooding occurred along the south shore of SW Suffolk, and major beach erosion also occurred along the south shore of Fire Island:||At the Watch Hill/Fire Island USGS tidal gauge, major flooding above the threshold of 4.2 ft MLLW occurred from 142 PM EST to 506 PM EST, with a peak water level of 4.7 ft MLLW from 248 PM EST to 342 PM EST. Moderate flooding of 3.7 ft MLLW or more occurred from 1242 PM EST to 612 PM EST.||At the Lindenhurst USGS tidal gauge, major coastal flooding at the threshold of 4.1 ft MLLW occurred from 124 PM EST to 212 PM EST. Moderate flooding of 3.6 ft MLLW or more occurred from 1148 AM EST to 324 PM EST. ||At the West Sayville USGS tidal gauge, major coastal flooding of 4.1 ft MLLW or more occurred from 118 PM EST to 518 PM EST, with a peak a peak water level of 4.5 ft MLLW from 300 PM EST to 318 PM EST. Moderate flooding of 3.6 ft MLLW or more occurred from 1148 AM EST to 636 PM EST.","An intensifying storm moved up the Eastern Seaboard from northern Florida on December 17th, to the coastal Mid Atlantic region on the 18th. This storm produced a strong onshore flow on the 18th that combined with high astronomical tides to cause widespread moderate to locally major coastal flooding and beach erosion along the south shore of Long Island during the late morning and afternoon.",7
1154225,NORTHEAST SUFFOLK (ZONE), ,12/18/2023,1400,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,187926,Z,79,OKX,0,0,River/Stream Gage, , , , , , , , ,12/18/2023,1600, , , , ,"Moderate coastal flooding occurred along the shores of NE Suffolk:||At the Orient Harbor USGS tidal gauge, moderate coastal flooding of 5.8 ft MLLW occurred from 236 PM EST to 321 PM EST.","An intensifying storm moved up the Eastern Seaboard from northern Florida on December 17th, to the coastal Mid Atlantic region on the 18th. This storm produced a strong onshore flow on the 18th that combined with high astronomical tides to cause widespread moderate to locally major coastal flooding and beach erosion along the south shore of Long Island during the late morning and afternoon.",8
1154355,NORTHWEST SUFFOLK (ZONE), ,01/09/2024,2100,High Wind,50.00, ,0,0,0,0,NY,EST-5,EG,187949,Z,78,OKX,0,0,Department of Highways, , , , , , , , ,01/10/2024,100, , , , ,"Multiple occurrences of downed trees or downed large limbs were reported. The Department of Highways reported a downed tree on the Northern State Parkway eastbound, west of exit 58 in Melville, NY at 956 PM Local Standard Time on January 9, 2024. The public reported a very large limb landing on cars in Centerport, NY at 1155 PM Local Standard Time on January 9, 2024. A trained spotter reported a large tree limb down at Old Field Road and Brambletye Lane in Old Field, NY at 1225 AM Local Standard Time on January 10, 2024.","A strong area of low pressure moved northeast from the Mid-Atlantic Region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024. Its center passed just north of the region during this period. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during this period.",9
1154363,SOUTHEAST SUFFOLK (ZONE), ,01/09/2024,2100,High Wind,55.00, ,0,0,0,0,NY,EST-5,MG,187949,Z,81,OKX,0,0,ASOS, , , , , , , , ,01/10/2024,300, , , , ,"A measured high wind gust of 63 mph was recorded at ASOS reporting station KHWV, Shirley Airport in Shirley, NY at 1238 AM Local Standard Time on January 10, 2024. A measured high wind gust of 59 mph was recorded at a mesonet station in Shinnecock, NY at 136 AM Local Standard Time on January 10, 2024. A measured high wind gust of 59 mph was recorded at a mesonet station in Napeague, NY at 138 AM Local Standard Time on January 10, 2024. ||In addition, the Department of Highways reported a tree blocking all lanes of NY Route 27 at Davids Lane in East Hampton, NY at 253 AM Local Standard Time on January 10, 2024, as well as a downed tree on NY Route 114 northbound, north of Swamp Road in East Hampton at 940 PM Local Standard Time on January 9, 2024.","A strong area of low pressure moved northeast from the Mid-Atlantic Region to southern New England during the night of January 9, 2024 into the early morning hours of January 10, 2024. Its center passed just north of the region during this period. The pressure gradient tightened as the center of the storm approached, producing high winds over Southeastern New York during this period.",10
